nom,latitude,longitude,description,adresse_brut,type_lieu,public_cible,contact_telephone,horaires_ouverture_brut,services
Emmaüs Connect,44.87298136,-0.5722592476,Nous mettons en place des activités dédiées à accompagner les personnes en difficulté numérique dans leur parcours. Nous les aidons à accéder à une offre solidaire pour s’équiper et se connecter tout en leur fournissant des outils pédagogiques pour appréhender seules ou accompagnées les services numériques essentiels à leur insertion sociale et professionnelle.,38 cours des Aubiers,Association,Tout public,06 46 80 33 29,Mardi au Jeudi : 10h-13h/14h-17h45. Vendredi 10h-13h/14h-16h45.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
L'Atelier de No Working Bordeaux Bacalan,44.86556204,-0.5492165921,"L'atelier de No Working est un espace d'activités, d'échange et de partage à destination des seniors.",19 rue Achard,Autre / Inconnu,Séniors,05 56 37 68 95,Du Lundi au Vendredi : 9h12h30/13h30-18h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Pôle Emploi Gironde - Bordeaux Nord,44.83732746,-0.572872104,"Accueille et accompagne toute personne à la recherche d'un emploi, d'une formation, d'un conseil professionnelle, d'une aide à la mobilité ou à l'insertion sociale et professionnelle.Indemnise les personnes relevant de l'assurance-chômage. Conseille et accompagne les entreprises dans leurs recrutements. Relaie les politiques publiques en relation avec ses missions.",5 place Ravezies,Pôle Emploi,Demandeurs d'emploi,3949,Réception sans rendez-vous  les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,Accès à un équipement informatique
Chantecler Bordeaux,44.8541256,-0.5767387999,"Aujourd’hui c’est 61 activités proposées pour 3600 pratiquants. Cette belle aventure doit sa réussite aux bénévoles, aux salariés et aux adhérents qui se sont succédés au cours de ces 92 années passées. Nous serons donc très prochainement CENTENAIRE… Nous nous sommes attachés à préserver les valeurs qui ont initié CHANTECLER : accueil pour tous, solidarité et esprit d’équipe.",impasse Ste Elisabeth,Association,Tout public,05 57 87 02 57,"Lundi, Mardi, Mercredi, Vendredi : 9h-12h30/13h30-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Foyer Fraternel Centre Social,44.85584624,-0.5721108423,"Le Foyer Fraternel est à la fois un centre social & un organisme de formation. Il répond aux besoins éducatifs et de loisirs, aux besoins d’insertion sociale et de solidarité, aux besoins de formation et d’insertion professionnelle. L’association propose notamment des cours de Français (Alpha, FLE) et des ateliers pour le numérique. Elle compte 800 adhérents et 2500 usagers dans les quartiers Chartrons, Grand Parc, Jardin Public.",23 rue Gouffrand,Centre social,"Allocataires,Demandeurs d'emploi,Etrangers,Jeunes,Séniors",05 57 87 13 92,Lundi au Vendredi : 9h-18h.,Accès à un équipement informatique
Bibliothèque Mériadeck,44.83511683,-0.5867592372,"La bibliothèque Mériadeck est la plus grande bibliothèque du réseau bordelais. C'est également l'une des plus grandes bibliothèques municipales de France, avec ses 8 000 m² ouverts au public ! L'offre de documents est vaste : le bâtiment abrite plus d'un million de documents dans des dizaines de kilomètres de rayonnages, soit en accès tout à fait simple et facile, dans les salles, pour l'emprunt à domicile ou la lecture sur place, soit en magasins.",85 cours du Maréchal Juin,Bibliothèque / Médiathèque,Tout public,05 56 10 30 00,"Lundi et Jeudi : 13h à 19h / Mardi Mercredi et Vendredi : 10h-19h, Samedi : 10h-18h (espace Patrimoine 13h-18h), Dimanche : 14h-18h d'octobre à avril.",Accès à un équipement informatique
CRIJ Nouvelle Aquitaine,44.83748991,-0.5758392829,"L'information Jeunesse vise à informer tous les Jeunes sur tous les sujets en lien avec leurs démarches d'accès à l'autonomie. Le CRIJ Nouvelle Aquitaine est la tête de réseau régionale des 170 structures IJ du territoire et gère l'accueil des Jeunes sur ses trois sites de Bordeaux, Limoges et Poitiers.",125 Cours Alsace Lorraine,Association,Jeunes,05 56 56 00 56,Lundi 13h30-17h Mardi à Jeudi 10h-12h et 13h30-17h Vendredi 10h-12h et 13h30-16h30.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Le Nom Lieu,44.84041518,-0.5705175784,Le Nom Lieu est une association de l'ESS qui accompagne les Jeunes de 16 à 25 ans en situation de fragilité psychique et/ou d'exclusion sociale à partir de leurs affinités dans les domaines du numérique vers leur insertion sociale et professionnelle.,Le Node 12 rue des faussets,Tiers-lieu / Coworking / FabLab / Hackerspace,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap",06 25 04 92 96,"Mercredi : 9h-17h, Samedi : 10h-13h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Oxygène,44.83865367,-0.5680439008,"Nos missions s’inscrivent dans le champ de l’insertion sociale et dans la lutte contre les exclusions et l’isolement en amenant notre public, au travers de nos actions, à retisser du lien social, à retrouver confiance et estime de soi. Il s’agit de lever progressivement les freins et les obstacles à l’émergence de projets.",27-29 quai Richelieu,Association,Tout public,05 56 96 96 63,Permanences tous les Mercredi après-midi.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Philomathique de Bordeaux,44.84217764,-0.5828164271,"Centre de formation professionnelle depuis 1808 à Bordeaux, spécialisé historiquement dans les métiers d'arts et d'artisanat et qui propose depuis 2015 des formations en lien avec le numérique, et notamment le web et ses usages. Les formations sont à la fois à destination de publics demandeurs d'emplois, particuliers ou en reconversion professionnelle. Ces actions sont diplômantes ou certifiantes. De plus des actions d'intérêt général sont ouvertes à destination des associations du territoire à travers l'action ""A l'Asso du Web"".",66 rue Abbé de l'Epée,Association,Demandeurs d'emploi,05 56 52 23 26,Lundi au Vendredi : 8h30-18 h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Abracodabra,44.83429704,-0.5862119378,"Abracodabra propose des ateliers de création numérique pour les enfants et adolescents de 4 à 15 ans. Durant les vacances scolaires ou pour des ateliers hebdomadaires, les Jeunes utilise le numérique comme un outil pour créer des robots, sites web, jeux vidéo, etc.",77 rue Lecocq,Autre / Inconnu,"Jeunes,Personnes en situation de handicap",05 57 65 75 39,Selon programme d’ateliers.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque Capucins / St Michel,44.83080187,-0.5670160166,"Au cœur du quartier St Michel, quartier de palabres et de saveurs, la bibliothèque met à l'honneur le théâtre et la poésie. Face au marché des Capucins, la bibliothèque vous accueille pour un temps de lecture, de rêverie... ou une simple pause, pour consulter la presse ou internet.",10-12 place des Capucins,Bibliothèque / Médiathèque,Tout public,05 56 91 18 79,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque Flora Tristan,44.82127415,-0.5507680728,"10 fois plus grande que l’ancienne bibliothèque Son Tay, chaleureuse, équipée d’espaces multimédia, de jeux vidéo et d'une grande salle d'animation, elle propose des services numériques innovants et des collections variées pour tous.",1 place d'Armagnac,Bibliothèque / Médiathèque,Tout public,05 24 99 60 12,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque Pierre Veilletet,44.85765109,-0.6236853355,"La bibliothèque Pierre Veilletet du quartier Caudéran a ouvert le 8 juin 2019. Elle est située sur la place Eugène Gauthier, dans un pôle regroupant un ensemble scolaire, un complexe sportif, une piscine, un skatepark, des commerces de proximité et le marché hebdomadaire. Elle a pour objectif d’être un lieu de rencontres et d’échanges accessible, convivial et confortable pour les habitants du quartier.",21 rue Domion,Bibliothèque / Médiathèque,Tout public,05 24 57 67 60,"Mardi et Vendredi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Ligue de l'enseignement – Fédération de la Gironde,44.85875495,-0.4973086763,"La Ligue de l’enseignement réunit des femmes et des hommes qui agissent au quotidien pour mieux vivre ensemble, lutter contre les inégalités et pour faire vivre une démocratie plus effective. L’identité de la Ligue de l'Enseignement se fonde sur le triptyque : Démocratie - Laïcité   Education. Ces actions se déclinent en plusieurs formats : formations, animations, ateliers, évènementiels, festivals culturels, centre de ressources pour les associations affiliées, etc. Elles s adressent aussi bien aux enfants scolarisais qu’à tous les publics défavorisés, fragilisés ou discriminés, des jeunes aux Seniors.","château BétailheBètailhe , 72 avenue de l'Eglise romane",Association,"Jeunes,Personnes en situation de handicap,Séniors",05 56 44 52 25,Du Lundi au Vendredi : 9h-12h/13h30-17h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Le Pixel Relai numérique de Cenon,44.85211271,-0.5133588069,"Le Pixel est un espace numérique ouvert à tous les publics souhaitant découvrir et s’initier aux outils multimédia. C'est un lieu d’échanges de savoirs et de communication. Le lieu propose en accès libre des ordinateurs et autres équipements (connexion internet, logiciel, scanner). Vous pouvez aussi perfectionner vos connaissances en participant à des ateliers sur des thématiques diverses (Bureautique Internet, Réseaux Sociaux, Photo ). Une équipe de médiateurs numériques vous accompagne lors de vos différentes démarches administratives.",Maison des Associations 11 rue du 8 Mai 1945,"Commune (Ville, CCAS, Centre Culturel…)",Tout public,05 56 67 80 66,"Mardi, Mercredi, Vendredi : 10h30-12h30/14h-17h30. Jeudi : 14h-17h30. Samedi :10h30-13h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Centre d'animation Bois Fleuri,44.87564154,-0.5201248029,"Le centre d'animation est une structure de proximitè pour tous à vocation sociale, familial et culturel. Un accompagnement aux démarches administratives, logement, emploi, CAF, est assurè afin de répondre au mieux aux demandes des usagers.",5 Rue des Arts,Association,"Allocataires,Demandeurs d'emploi,Jeunes,Séniors",05 47 33 05 69,"Mardi, Jeudi, Vendredi : 10h-12h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
CLAP Sud-Ouest,44.87560575,-0.5198665846,"Dans sa partie DPLAI (Dispositif Permanent de Lutte de l’Analphabètisme et l’Illettrisme), le CLAP Sud Ouest association d’èvaluation linguistique de la langue française, d’accompagnement et de suivi, propose l’action SILE (Soutien Informatique Liè à l’Emploi).","1 bis, rue des Arts",Association,"Demandeurs d'emploi,Etrangers,Jeunes,Personnes en situation de handicap",05 57 77 77 20,Du Lundi au Vendredi : 9h-12h/14h-17h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Alter Egaux,44.80650188,-0.5494198309,"Créée au printemps 2018, Alter Egaux est une micro-entreprise qui propose des services très diversifiés d'accompagnement administratif numérique et juridique aux particuliers, associations et petites entreprises.",12 rue du Marechal Joffre,Autre / Inconnu,Tout public,05 57 04 24 71,Du Lundi au Vendredi : 9h45-13h/14h30-19h30. Sur rendez-vous le Samedi matin.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Bureau Information Jeunesse de Bègles,44.80764354,-0.5475865007,"Relais du CRIJNA, c'est un lieu d'accueil, d'information, d'accompagnement des jeunes béglais concernant la découverte des métiers, l’orientation, l'emploi, le logement, la santé, la culture, la vie quotidienne.",21 rue Calixte Camelle,Association,Jeunes,05 56 49 06 34,"Hors vacances solaires : Lundi et Vendredi  :14h-17h. Mercredi : 10h-12h/14h-18h. Pendant les vacances scolaires : Lundi, Mardi, Vendredi : 14h-17. Mercredi :10h-12h/14h-17h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
FabLab BEN (BORDEAUX ECOLE NUMÉRIQUE),44.80280488,-0.546547422,"Nous sommes un atelier de fabrication numérique, ouvert à toutes et tous, qui permet de prototyper, créer ou produire, dans le respect des personnes et de l’environnement. Nous cherchons à favoriser l’acquisition, la transmission et la production des savoirs et des compétences par l’expérimentation, le faire soi-même, l’échange de pairs à pairs et la pratique collective. Nous souhaitons participer, à l’apprentissage du numérique et des ces nouveaux usages vis-à-vis de nos jeunes et de nos pères, mais aussi à la lutte contre la fracture sociale et l’e-exclusion due aux inégalités d’accès au monde numérique.",09 Av du Prof BERGONIE,Tiers-lieu / Coworking / FabLab / Hackerspace,Tout public,05 56 75 97 47,"10h-12h 14h-18h du Mardi au Samedi, avec les soirées Découverte de 18h à 20h30.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Fablab Cohabit,44.78898874,-0.612368968,"Le fablab Coh@bit (contraction de l'anglais Fabrication Laboratory, « laboratoire de fabrication ») est un lieu ouvert au public et dédié à la création et à la production numériques. Il est équipé de machines et d'outils de prototypage. Des projets variés s'y développent : ruches connectées, machines-outils, robots agricoles, réalité augmentée, loisir créatif ... Vous serez toujours les bienvenus au Fablab ! Dans l’univers de l’open source et du Do It Yourself, les projets appartiennent à ceux qui les font vivre !","IUT de Bordeaux 15 rue Naudet, bât 10a",Tiers-lieu / Coworking / FabLab / Hackerspace,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",05 56 84 79 61,Du Lundi au Vendredi de 10h à 18h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
PLIE Portes du Sud,44.77364566,-0.6157014551,"Le PLIE Portes du Sud (Plan Local pour l’Insertion et l’Emploi) est un dispositif destiné à favoriser le retour à l’emploi durable ou l’accès à une formation qualifiante des personnes en situation d’exclusion professionnelle. Pour atteindre ses objectifs, le PLIE met en œuvre des parcours individualisés et renforcés et mobilise les partenaires et les entreprises de son territoire d’intervention (Talence, Gradignan et Villenave d'Ornon).",7 avenue jean larrieu,Association,Demandeurs d'emploi,05 57 96 86 82,Sur rendez-vous.,Accès à un équipement informatique
Bibliothèque Pablo Neruda,44.79056907,-0.6313745216,La Bibliothèque Pablo Neruda (quartier de Saige à Pessac) met à disposition des usagers 6 ordinateurs avec un accès internet gratuit et un accès WIFI. Un photocopieur-imprimante-scan est à disposition. Des ateliers individuels permettent un accompagnement personnalisé sur les usages du numérique. La médiathèque est référencée Espace Public Numérique.,16 bis allée des mimosas,Bibliothèque / Médiathèque,Tout public,05 57 93 67 20,"Mardi, Jeudi, Vendredi : 15h30-18h30. Mercredi : 10h-12h/14h-18h30. Samedi : 10h-12h/14h-17h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Infos Jeunes Talence,44.8101292,-0.589557776,"Au service municipal Infos Jeunes, il y en a pour tous les goûts ! Interlocuteur privilégié de la jeunesse talençaise, cet espace permet à chacun de bénéficier d’une aide adaptée à ses besoins et ses envies. C'est un lieu où ils peuvent venir poser toutes les questions qui les préoccupent, des animatrices sont là pour accueillir et aider à trouver les interlocuteurs adaptés à leurs recherches.",17 avenue Espeléta,"Commune (Ville, CCAS, Centre Culturel…)",Jeunes,05 56 84 78 13,"Lundi, Mardi, Jeudi, Vendredi : 13h-18h. Mercredi : 10h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Médiathèque de Thouars,44.79215338,-0.5916194378,"Ouverte à tous les inscrits du réseau des médiathèques de la ville (gratuit), la Cyber-base de Thouars met à votre disposition 3 ordinateurs équipés de casques audio, de webcams, et pourvus d’une connexion Internet haut débit, et vous propose de larges plages dédiées à la consultation libre. Un animateur est présent pour un accompagnement individualisé ""réservez un animateur"" sur rendez-vous les mardis de 16h à 18h30 et les vendredis de 15h30 à 17h.",Le Dôme 221 avenue de Thouars,Bibliothèque / Médiathèque,"Allocataires,Demandeurs d'emploi,Jeunes,Séniors",05 56 84 64 21,"Lundi, Mardi, Jeudi, Vendredi : 15h30-18h30. Mercredi : 10h-18h30.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Association Le Relais Talençais,44.79662616,-0.5954243345,"Notre association gère une épicerie solidaire et propose en parallèle un accompagnement social, des ateliers et des animations aux adhérents et aux familles bénéficiaires.","25 rue du 19 Mars  Tour Chateaubriand, Appt 33",Association,Tout public,05 47 33 54 96,Lundi et Jeudi : 14h-16h sur rendez-vous.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Centre socioculturel Les Terrasses,44.84237195,-0.7793973212,"Association où coopèrent des habitants et des salariés autour d'un projet de développement social à Martignas. Elle diversifie ses ""portes d'entrées"" afin ""d'aller vers"" tous les publics. Elle accueille, accompagne les habitants pour construire des projets dans le respect des valeurs de son réseau: respect de la dignité humaine, solidarité, démocratie.",14 Avenue de Verdun Cedex 15,Centre social,Tout public,05 56 78 05 48,"Lundi : 10h-12h30/14h-18h. Mardi, Jeudi : 9h30-12h30/14h-18h30. Mercredi : 14h-18h. Vendredi : 9h30-12h30/14h-17h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Le Puzzle,44.85171864,-0.6494715568,"L'association LE PUZZLE est agréée centre social et culturel et multi-accueil. Située au sein du quartier Capeyron à Mérignac,les actions menées sont en direction de tous les publics. La référente famille CESF, est à même d'orienter le public sur les questions d'accès aux droits et de parentalité. L'équipe d'animation accueille les enfants de 3 à 17 ans sur des temps de loisirs et d'accompagnement à la scolarité. Nous hébergeons une bibliothèque dans les murs. Des ateliers de français pour étrangers sont dispensés à environ 200 personnes par an. De nombreuses activités de loisirs sont proposées également.",Rue Jean Giono,Association,Tout public,05 56 12 17 80,Lundi au Vendredi : 8h30-12h15/13h30-18h.,Accès à un équipement informatique
Association Socioculturelle de l'Ouest (ASCO),44.89390995,-0.7493628595,"L'Association SocioCulturelle de l’Ouest (ASCO) est un lieu d'initiatives portées par les habitants et accompagnées par une équipe salariée / bénévoles. L’association est agréée centre social par la CAF depuis 2009. Cet agrément implique la mise en oeuvre d’un projet social portant sur l’animation sociale des quartiers Ouest, la participation active des habitants, une veille sociale auprès des publics fragilisés, une attention particulière pour les familles et la mise en place d’actions partenariales.",104 avenue Anatole France,Association,Tout public,05 56 95 99 16,Lundi au Vendredi : 14h à 18h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Atelier Remuménage,44.82961892,-0.5682347328,"L'Atelier Remuménage est une association girondine, basée dans le quartier Saint-Michel/Capucins, qui propose des services de déménagement et transport, solidaires et écologiques. Acteur depuis 20 ans dans l'Economie Sociale et Solidaire, l'association est en partenariat avec les acteurs sociaux du territoire. L'association est également reconnu Atelier Chantier d'Insertion depuis 2015. Elle accompagne 26 personnes éloignées de l'emploi dans leurs parcours socioprofessionnels.Depuis 2019, elle participe au programme Quartiers numériques, et propose des ateliers pour les personnes qui en ont besoin.",5 cours de l'Yser,Association,Tout public,05 56 92 80 35,Du Lundi au Vendredi : 09h-12h30/.13h30-18h.,Accès à un équipement informatique
Centre d'animation Bacalan,44.8795887,-0.5431822514,"Le centre d’animation Bacalan fait partie de l’association Centres d’animation de Bordeaux, association républicaine d’animation socioculturelle, loi 1901. À ce titre, son action se fonde sur un ensemble de valeurs et de principes et est guidée par ses textes fondateurs dont ses statuts et son projet associatif. Agréée jeunesse et éducation populaire et agréé Centre Social, le centre œuvre avec toutes et tous afin de contribuer à l’émancipation des personnes qu’elle accueille en promouvant une éducation tout au long de la vie et l’égale reconnaissance des savoirs, savoir-faire et savoir-être.",139 rue Joseph Brunet,Association,Tout public,05 56 50 82 18,Mardi et Vendredi : 14h-18h Mercredi  : 9h-13h/14h-18h30 Jeudi : 9h-13h/15h-19h30,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Maison des femmes de Bordeaux,44.83795291,-0.569515587,"Deux ordinateurs sont mis à disposition des femmes. Isabelle, chargée de l'insertion à la Maison des Femmes, vous accompagne dans vos démarches administratives.",27 cours Alsace Lorraine,Association,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap",05 56 51 30 95,Lundi au Vendredi : 14h-18h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Amicale Laïque de Bacalan,44.87403054,-0.5461466384,"Association issue de l'Education Populaire, ouverte à tous pour l'épanouissement de chacune et chacun. Evénements culturels, ateliers culturels et sportifs, périscolaire, médiation, accompagnement des publics, lieu d'accueil des habitants et des associations.",5 rue Joseph Brunet,Association,Tout public,05 56 50 85 60,"Lundi : 15h-21h, Mardi Mercredi Jeudi Vendredi : 14h-21h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque Bacalan,44.87313396,-0.5462823944,"Bien amarrée au territoire de Bordeaux Maritime, la bibliothèque Bacalan vous attend en famille, autour de rencontres, d'expositions ou d'ateliers... Demandez le programme ! Pour lire, travailler, vous informer ou vous détendre, la bibliothèque met à votre disposition 4 postes Internet et plus de 20 places assises.",196 rue Achard,Bibliothèque / Médiathèque,Tout public,05 56 50 87 02,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Centre d'animation Bordeaux Lac,44.87254679,-0.5725183332,"Animation socioculturelle en direction des enfants et Jeunes de 3 à 17 ans et de leurs familles. (activités péri et extra scolaires + Sorties, séjours période scolaire et vacances + accompagnement à la scolarité) Accueil et accompagnement des familles : Accès aux droits (permanences sociales avec partenaires), sorties, séjours. Développement social local par animations de quartier et soutien aux initiatives locales.",79 cours des Aubiers,Association,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",05 56 50 47 73,"Lundi, Mardi et Vendredi : 13h30-18h30, Mercredi : 9h-12h/13h30-18h30, Jeudi : 9h-12h/ 13h30-17h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Centre social et familial Bordeaux Nord,44.86022846,-0.5621061925,"Accueil des habitants du quartier pour participer à des activités de loisirs et de soutien scolaire pour les enfants des activités d'insertion sociale, professionnelle et de solidarité pour les adultes.",58 rue Joséphine,Centre social,Tout public,05 56 39 46 72,Du Lundi au Vendredi : 9h-12h30/14h-18h30.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque Grand Parc,44.83943512,-0.5932567894,"Dans sa rotonde centrale, elle accueille les œuvres de nombreux artistes peintres et sculpteurs : vous y découvrirez chaque mois des expositions d’art contemporain. Située au cœur du quartier Grand Parc, en bordure de Caudéran, du Jardin Public et des Chartrons, la bibliothèque vous offre un équipement culturel dynamique.",34 rue Pierre Trébod,Bibliothèque / Médiathèque,Tout public,05 56 50 28 35,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h,Jeudi et Vendredi : 14h-18h.",Accès à un équipement informatique
CCAS de Bordeaux,44.83820431,-0.5823166271,"Le CCAS de Bordeaux (Centre Communal d'Action Sociale), établissement public, met en oeuvre les solidarités et organise l'aide sociale au profit des Bordelais. A ce titre il lutte contre les exclusions en accompagnant l'attribution de l'aide sociale légale, en dispensant une aide sociale facultative selon la politique d'action sociale de la commune. Coordonnant les acteurs du territoire il porte des actions innovantes pour lutter contre les précarités. Le CCAS de Bordeaux n'assure pas un accompagnement numérique mais a un soutien numérique aux usagers dans le cadre de la dématérialisation des procédures.",4 rue Claude Bonnier,"Commune (Ville, CCAS, Centre Culturel…)",Tout public,05 57 89 39 39,Lundi au Vendredi : 8h30-18h.,Accès à un équipement informatique
GEM Grain de Café,44.8384732,-0.5685421881,Association qui a pour objet de soutenir et de promouvoir la participation sociale et la citoyenneté des personnes isolées et/ou en souffrance psychique.,6 rue Ausone,Association,Tout public,05 56 81 93 22,Lundi au Vendredi : 14h-17h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
La Ressourcerie,44.8424831,-0.5724629296,"Un lieu de vie au cœur de Bordeaux pour se ressourcer ensemble et prendre du temps pour soi. Conçue à l’origine pour les personnes accompagnant un proche, la Ressourcerie est ouverte à tous. Vous trouverez ici du répit, de l’entraide et de l’envie d’agir pour vous ressourcer.",21 Cours du Chapeau Rouge,Autre / Inconnu,"Jeunes,Séniors",05 47 74 32 61,"Lundi : 14h-18h30, Mardi, Mercredi, Jeudi, Vendredi : 10h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Pôle Emploi Gironde - Bordeaux Mériadeck,44.83806664,-0.588190718,"Accueille et accompagne toute personne à la recherche d'un emploi, d'une formation, d'un conseil professionnelle, d'une aide à la mobilité ou à l'insertion sociale et professionnelle.Indemnise les personnes relevant de l'assurance-chômage. Conseille et accompagne les entreprises dans leurs recrutements. Relaie les politiques publiques en relation avec ses missions.",1 Terrasse du Front du Médoc,Pôle Emploi,Demandeurs d'emploi,3949,Réception sans rendez-vous les matin du Lundi au Vendredi de 8h30 à 12h30 et sur rendez-vous les après-midi sauf le Jeudi.,Accès à un équipement informatique
