nom,latitude,longitude,description,adresse_brut,type_lieu,public_cible,contact_telephone,horaires_ouverture_brut,services
CAIO,44.83839393,-0.5686112159,"Le Centre d'accueil, d'information et d'orientation (CAIO) a pour but d'accueillir, d'informer et d'orienter les personnes les plus en difficultés et de les accompagner dans la recherche d'un hébergement et d'un logement autonome, et d'un emploi stable.",7 rue Ausone,Association,Tout public,05 56 48 26 12,"Lundis, Jeudis et Vendredis : 14h-17h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Centre d'animation Saint Pierre,44.83958658,-0.5728610355,"Le centre d'animation Saint-Pierre fait partie de l'association Centres d'animation Bordeaux est ouvert à tous et à vocation sociale, familiale, et culturelle. Il s'adresse aux habitants du quartier, associations, partenaires et acteurs qui partagent les mêmes valeurs : respect, hospitalité, citoyenneté, responsabilité et le principe de laïcité.",4 rue du Mulet,Association,Tout public,05 56 48 16 39,"Mardi et Mercredi : 9h-12h30/14h-19h, Jeudi : 10h-12h30/14h-18h(uniquement le matin si ouverture le samedi 1er du mois) Vendredi: 14-18h. 1er Samedi du mois: 14h-18h (hors vacances scolaires).",Accès à un équipement informatique
Astrolab’,44.82469917,-0.5519600654,"Astrolab’, association créée en 1996, est agréée Espace de vie sociale et d’éducation populaire.Implantée sur le territoire de Bordeaux Sud, c’est un équipement plurigénérationnel qui s’adresse aux enfants, aux adolescents, aux adultes et aux familles. Les actions de l’association se developpent autour de : - l’accompagnement scolaire, élémentaire 1 et secondaire, - un centre de loisirs enfants & adolescents, - un accompagnement des initiatives des habitants, - la participation à la vie associative locale du territoire.",40 rue Laffiteau,Association,"Allocataires,Demandeurs d'emploi,Jeunes,Séniors",06 08 17 88 47,Vendredi : 14h-16h,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque Jean de la Ville de Mirmont,44.83219171,-0.6108992928,"Au cœur du "" village Saint Augustin "", la nouvelle bibliothèque du quartier vous propose des collections riches et variées (albums, romans, BD, films, presse...), offrant désormais une place de choix à la musique (3000 CD) et aux nouvelles technologies (salle multimédia, tablettes, jeux vidéo...) dans une ambiance chaleureuse.",Place de l'Eglise Saint-Augustin,Bibliothèque / Médiathèque,Tout public,05 24 99 60 30,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
UNADEV (Union Nationale des Aveugles et Déficients Visuels),44.83491447,-0.5760437952,L'Union Nationale des Aveugles et Déficients Visuels (UNADEV) créée en 1929 à Bordeaux est une association reconnue d'assistance et de bienfaisance. Nos actions portent sur trois missions : Accompagner et aider les personnes déficientes visuelles pour leur insertion sociale et professionnelle ; Sensibiliser et informer le grand public et les décideurs ; Soutenir la recherche médicale et la prévention des maladies cécitantes.,12 rue de Cursol,Association,,05 56 33 85 85,Lundi au Vendredi : 9h-17h30.,Accès à un équipement informatique
CPAM de la Gironde - Pelleport,44.82051322,-0.5680850775,"Les principales missions de la CPAM : gérer les droits à l'assurance maladie des assurés sociaux, verser les prestations dues à chaque assuré, appliquer le plan d'action relatif à la gestion du risque en relation avec les professionnels de santé ; mettre en œuvre les campagnes de prévention, mettre en œuvre la politique d’action sanitaire et sociale par des aides individuelles aux assurés ou des aides collectives aux associations, faciliter l’accès aux droits et aux soins.",232 Rue Pelleport,"Organisme de sécurité sociale (CAF, CPAM, CARSAT, MSA…)",Tout public,3646,Du Lundi au Vendredi : 09h-17h.,Accès à un équipement informatique
FAits de Coeur’S,44.8250663,-0.5518514354,Lutte contre l’isolement des seniors.,45 rue Son Tay,Association,Séniors,06 48 53 07 78,Selon planning disponible sur notre site.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
La Halle des Douves,44.83062642,-0.5662047329,"L'association Halle des Douves a en charge l'animation et la programmation du marché des Douves, maison de vie associative et des habitants. L'association compte environ 180 à 200 associations adhérentes, une soixantaine de particuliers et un millier d'adhérents à son café associatif.",4 bis rue des Douves,Association,"Jeunes,Personnes en situation de handicap,Séniors",05 57 71 75 93,Du Mercredi au Samedi : 10h-22h et le Mardi : 13h30-22h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
PIMMS de Bordeaux,44.82753104,-0.5588204015,"Favoriser l’accès aux services publics et améliorer la vie quotidienne des populations en proposant à ses utilisateurs des services de type généraliste (information de premier niveau, orientation, accompagnement dans les démarches, services de proximité), des actions de prévention et de médiation visant à réduire leurs éventuelles difficultés.",213 bis cours de la Marne,Point Information Médiation Multi Services (PIMMS),Tout public,05 56 85 85 45,"Lundi, Mercredi, Jeudi,Vendredi : 9h30-12h30 / 13h30-17h.  Mardi : 14h-18h30.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Sesame,44.83379091,-0.5657544516,"L'espace de médiation est un service d'accompagnement au numérique pour le grand public. Il propose : de fournir ponctuellement des moyens d'accès à Internet et d'utilisation de logiciels, d'accompagner le grand public dans l'acquisition de compétences informatiques de base, de sensibiliser aux risques et aux responsabilités dans l'utilisation du numérique et à une utilisation raisonnée et responsable d'Internet.",13 place Canteloup,Espace Public Numérique (EPN),Tout public,05 56 10 26 13,"Du Lundi au Jeudi : 9h-12h/13h-17h30, Vendredi : 9h-12h. Fermé en aout.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque La Bastide,44.84413592,-0.542196721,"C'est la bibliothèque de référence sur la rive droite, dans un quartier en pleine mutation.Elle chouchoute les tout petits, les collégiens... et les mélomanes. La bibliothèque met à votre disposition livres, DVD, revues, mais aussi un beau fonds de CD musicaux et six postes Internet. Les collégiens du quartier sont accueillis à des tables de travail et guidés dans leurs recherches.",18-22 rue Alexander Fleming,Bibliothèque / Médiathèque,Tout public,05 56 86 15 28,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Centre socioculturel Danielle Mitterrand / MSAP,44.92779308,-0.488512978,"Le centre socioculturel propose aux habitants un lieu dédié à l’accueil des administrés. L’objectif est d’accueillir l’ensemble de la population et de proposer un accompagnement aux démarches et à l’accès aux droits au travers d’un accueil bienveillant et individualisé (démarches administratives en particulier des partenaires de la MSAP, une information fiable et claire, accompagner les habitants vers l’autonomie, en particulier pour ce qui concerne les démarches dématérialisées).",1 rue Louis Massina,Maison de Service au Public (MSAP),Tout public,05 56 77 62 64,Lundi : 9h30-12h30/14h-19h. Mardi : 9h30-12h30/14h-17h. Mercredi : 9h30-12h30/14h-18h. Jeudi : 8h30-12h30/14h-17h. Vendredi : 14h-18h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Pôle Culturel Evasion,44.92645588,-0.4884793333,"Equipement culturel de proximité de la ville d'Ambarès-et-Lagrave, le Pôle Culturel Evasion a pour vocation la transmission des pratiques artistiques et la découverte de formes innovantes. L'objectif est de mettre en œuvre une action cohérente dédiée aux enjeux de la rencontre entre professionnels et amateurs, entre artistes et populations. Fort d’une expérience autour d’une Mission FEDER numérique Axe 2, de plusieurs actions menées dans le cadre d’appels à projets le Pôle Culturel a développé au fil des années des compétences autour du numérique.",place de la République,"Commune (Ville, CCAS, Centre Culturel…)",Séniors,05 56 77 36 26,Mardi : 18h-21h. Vendredi : 10h-12h.Samedi : 10h-13h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Médiathèque municipale de Bassens,44.89960316,-0.5161907847,"La médiathèque propose des ateliers d'initiation aux usages du numérique., une aide et un accompagnement à l’équipement numérique, un accès libre et gratuit soumis à inscription à la médiathèque.",rue 8 mai 1945,Bibliothèque / Médiathèque,Tout public,05 57 80 81 78,Médiathèque: Mardi : 14h-18h. Mercredi : 10h-12h/14h-18h. Vendredi : 10h-12h/14h-19h. Samedi : 10h-12h/14h-17h. EPN : Mardi : 16h-18h. Mercredi : 10h-12h (sur RV uniquement)/14h-18h. Vendredi : 10h-12h (accueil avec agents du CCAS pour leurs bènèficiaires) /14h-17h. Samedi : 10h-12h. Ateliers initiation le Mardi : 14h-16h et le Vendredi : 17h-19h (sur inscription),Accès à un équipement informatique
Médiathèque de Carbon-Blanc,44.89589886,-0.5147697669,"La médiathèque de Carbon-Blanc dispose de 5 postes informatiques à destination des publics, accessibles gratuitement pour les inscrits à la médiathèque (inscription gratuite). Pour les mineurs, la consultation est soumise àl’autorisation parentale. Le public a accès à Internet, à des outils de bureautiques ainsi que des ressources en ligne. Les personnes peuvent être accompagnées dans leurs recherches par un bibliothécaire sur demande.",17 Avenue Vignau Anglade BP 30,Bibliothèque / Médiathèque,Tout public,05 56 77 68 86,La médiathèque est ouverte du mardi au samedi. Pour consulter les horaires veuillez vous rendre sur le site de la ville : www.carbon-blanc.fr.,Accès à un équipement informatique
Centre social et culturel La Colline,44.85640882,-0.5206668504,"Le centre social et culturel est une association qui propose des actions en direction des familles, des enfants, des jeunes et des adultes. Ses trois axes de travail sont : l’épanouissement individuel et collectif (Cours de français, accompagnement aux vacances, accompagnement social, soirées, sorties ), l'accès à la culture (spectacles, concerts, festival, découverte des métiers culturels& ), l'accès au numérique (ateliers, utilisation des outils (ordinateurs, tablettes, smartphone), utilisation des plateformes administratives).",2 rue Stéphane Mallarmé,Centre social,Tout public,05 57 77 90 30,Du Lundi au Vendredi : 9h-12h/14h-17h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
PIMMS de Cenon,44.85701174,-0.5321185452,"Faciliter l’accès des populations aux services publics et aux droits sociaux. Généraliste sur son territoire, le PIMMS développe une activité multiservices. Ainsi, le PIMMS œuvre à l'accessibilité des habitants aux services nécessaires à la vie courante, en relayant, facilitant la compréhension, en complétant l'offre de services de ses partenaires et en proposant des services de type généraliste (information de premier niveau,...).  Notamment, Il offre un accès à Internet et accompagne dans l’utilisation des services publics distants via les portails numériques des opérateurs de services.",89 avenue Jean Jaurès,Point Information Médiation Multi Services (PIMMS),"Allocataires,Demandeurs d'emploi,Etrangers,Jeunes,Séniors",05 47 74 77 80,"Lundi, mercredi Vendredi 9h/12h30-13h30/17h   Mardi et Jeudi 13h30/17h","Accès à un équipement informatique,Le public peut amener son propre matériel"
Rocher de Palmer I Musiques de Nuit Diffusion,44.86214556,-0.5240029627,"Le Forum du Rocher, c'est une boite à outils geéante et des espaces au sein du Rocher de Palmer où l’on vient se former, travailler, echanger, s’enregistrer et/ou structurer son parcours professionnel dans le secteur des industries culturelles et creatives. Il s'adresse aux personnes en recherche d’emploi, porteurs de projets, habitants en quartier prioritaire, ètudiants et propose : une formation numèrique (2 mois), un espace coworking, des ateliers de 2 jours (numèrique), un studio de captation numèrique et une pèpinière d’entreprise culturelle.",1 rue Aristide Briand,Association,"Allocataires,Jeunes,Personnes en situation de handicap",06 71 83 86 26,Du Lundi au Vendredi 9h30-18h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
DEFI,44.87148357,-0.5143354014,"L’association DEFI a été créée en 1994. Son objectif est « d’aider toutes les personnes exclues à défendre et accéder à leurs droits, mais aussi de les aider à s’insérer à tous les niveaux de leur vie citoyenne par une action d’information, de formation et par un soutien tout au long de leur démarche d’insertion ». Nos actions pour y répondre, la Médiation Sociale, l’accession à la citoyenneté par la valorisation de l’alphabétisation, Français Langue Étrangère et Seconde, la participation active et citoyenne des habitants et plus particulièrement des femmes, dans la vie de la cité et les ateliers de formation aux usages et savoirs de base du numérique dans le cadre du programme Quartiers Numériques.",18 Rue Henri DUNANT esplanade Saint-Hilaire,Association,Tout public,05 56 31 13 56,Du Lundi au Vendredi : 9h-16h.,Accès à un équipement informatique
Mediatheque Jean Vautrin,44.76800673,-0.6114607156,Accompagnement individuel pour les démarches administratives. Accompagnement individuel pour de l'aide sur PC ou smartphone. Ateliers collectifs du mardi au vendredi. Espace jeu vidéo,32 route de léognan,Bibliothèque / Médiathèque,Tout public,05 57 12 18 90,Mardi : 14h- 20h. Mercredi et Samedi: 10h – 18h. Jeudi et Vendredi : 14h – 18h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
EPI'SOL Pessac,44.80527648,-0.6328603209,Atelier informatique tous les 15 jours. Poste informatique en libre service. Reconnu facilitateur CAF sur le site caf.fr,8 place germaine tillion,Association,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",05 56 51 48 57,Du Mardi au Vendredi : 10h-13h et 15h-19h.   Samedi : 10h-13h.  Atelier 1 Vendredi sur 2.  Permanence caf.fr le Vendredi matin.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Espace Social et d'Animation Alain Coudert,44.79116316,-0.6287024144,"Centre social de Saige à Pessac, quartier prioritaire. Propose un accueil tous publics.  Le projet social de la structure est construit en 4 sous projets :  1) Accueil, Animation de la vie sociale et Cadre de vie  2) Accès aux Droits, Insertion et Parentalité (assistance numérique) 3) Alimentation, Santé & Solidarité  4) Education et prévention",68 rue de l'horloge,Centre social,Tout public,05 56 45 57 50,Lundi : 13h30-19h. Du Mardi au Vendredi : 10h30-12h30/13h30-19h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Centre Social de Bagatelle,44.80851235,-0.573962966,"Le centre social de Bagatelle accueille toutes personnes souhaitant participer à des projets, activités, événements ou en recherche de vivre ensemble. Permanences d'accès aux droits (écrivain public et CESF) et espace numérique.",203 Route de Toulouse,Centre social,Tout public,05 57 12 40 30,"Du Lundi au Jeudi : 9h-12h/14h-17h30. Vendredi : 9h-12h. Vendredi après-midi, Samedi et dimanche : fermé. Ces horaires correspondent à la période actuelle (COVID-19), merci de nous contacter par téléphone pour toute demande d'accès au numérique. Présence de facilitateurs numériques le Lundi 9h30-12h / et le Vendredi : 9h30-12h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Médiathèque Castagnéra,44.8073646,-0.5900917619,"La Cyber-base de Talence vous accueille sur deux sites, à la médiathèque Castagnéra. Ouverte à tous les inscrits du réseau des médiathèques de la ville (inscription gratuite), la Cyber-base met à votre disposition des ordinateurs équipés de casques audio, de webcams,  d’une connexion Internet haut débit, et vous propose de larges plages dédiées à la consultation libre, en présence d’un animateur. Des ateliers multimédias ont pour objectif de vous familiariser avec les outils informatiques, et de découvrir le potentiel des ressources numériques.",1 allée Peixotto,Bibliothèque / Médiathèque,"Allocataires,Demandeurs d'emploi,Jeunes,Séniors",05 56 84 78 90,Mardi Jeud  : 14h-18h30. Mercredi : 10h30-18h30. Vendredi  : 10h30-18h30. Samedi : 10h30-18h (10h30-16h en juillet et août).,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Médiathèque d'Ornon,44.76474678,-0.5840676045,"Espace de 1000 m² situé dans le quartier de Chambéry, la Médiathèque d’Ornon est un outil culturel riche, conçu pour favoriser la lecture, l'ouverture au monde musical et audiovisuel et l'initiation aux nouvelles technologies, mais aussi lieu de loisirs, de convivialité, de détente et d'accès à l'information grâce à sa collection d'environ 70000 documents.Vous pouvez assister, tout au long de l'année aux différentes manifestations culturelles gratuites proposées par la Médiathèque d'Ornon : concerts, ateliers de lecture et d'écriture, contes, animations multimédia.",46 bis rue Jean-Jacques Rousseau,Bibliothèque / Médiathèque,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",05 57 96 56 30,Mardi : 15h-19h (ou 20h). Mercredi : 10h-18h. Jeudi : 15h-18h. Vendredi : 10h-12h /14h-18h. Samedi : 10h-18h.,Accès à un équipement informatique
Médiathèque Les Etoiles,44.77676013,-0.5327732668,"La Médiathèque les Etoiles est située dans le quartier du Bocage, dans un bâtiment regroupant également le Centre socioculturel et les Archives municipales. Destinée à accueillir tous les publics, elle propose des espaces livres, presse, vidéo-son, multimédia et jeux vidéo afin de favoriser la lecture, l’accès à la musique et l’initiation aux nouvelles technologies.En plus des animations gratuites proposées tout au long de l’année et d’un large fonds, la Médiathèque les Etoiles dispose également d'une partothèque, et les musiciens locaux peuvent enrichir la démothèque mise à disposition.",7 rue Colette Besson,Bibliothèque / Médiathèque,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",05 57 96 56 40,Mardi : 15h-19h (ou 20h). Mercredi : 10h-18h. Jeudi : 15h-18h. Vendredi : 10h-12h /14h-18h. Samedi : 10h-18h.,Accès à un équipement informatique
Service Municipal Emploi de Villenave d'Ornon,44.7784271,-0.5730945931,"Ce service aide à la recherche d’emploi et accueille tous les demandeurs d’emplois Villenavaises et Villenavais, qui souhaitent être aidés dans leurs recherches d’emplois et/ou dans leur réinsertion professionnelle. Un « cyber espace » avec plusieurs postes informatiques est mis à disposition des demandeurs d’emploi pour faciliter les démarches en ligne liées à la recherche d’emploi. Le service emploi municipal propose des rendez-vous individuels pour faire un point sur sa recherche d’emploi, aider à la rédaction de lettre de motivation et CV, mettre à jour son profil de compétences sur le site de Pôle Emploi.","Domaine Jacques Brel, 45 Avenue du Marechal Leclerc","Commune (Ville, CCAS, Centre Culturel…)",Tout public,05 56 75 28 45,Du Lundi au Vendredi : 8h45-12h30/14h-16h45.,Accès à un équipement informatique
Médiathèque Assia Djebar,44.91049839,-0.6328842044,"La médiathèque Assia Djebar de Blanquefort est située au sein du Centre Culturel Les Colonnes. Elle offre un accès à tous les médias en matière de loisirs, de culture, d’information et de formation continue. Ouverte 35h par semaine, elle accueille des usagers qui viennent pour emprunter des documents, pour lire la presse, consulter Internet, travailler, accompagner, se rencontrer... Elle propose aussi une programmation culturelle tout au long de l’année : expositions, rencontres… L’espace numérique Le F.I.L (Formation Innovation Ludique) est situé au niveau -1 de la médiathèque.",4 rue du Docteur Castéra,Bibliothèque / Médiathèque,Tout public,05 56 57 48 40,Mardi et Jeudi : 14h-19h. Mercredi et Vendredi : 10h-19h. Samedi : 10h-17h. Horaires d'été (juillet-août) : Mardi au Jeudi : 14h-18h. Mercredi et Vendredi : 10h-12h/14h-18h. Samedi : 10h13h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Bibliothèque du Haillan,44.87390059,-0.6759351123,"Service municipal de proximité ayant pour mission la diffusion et la promotion de l'information, de l'éducation et de la culture.",30 rue de Los Heros,Bibliothèque / Médiathèque,"Allocataires,Demandeurs d'emploi,Etrangers,Jeunes,Séniors",05 57 93 11 31,Mardi : 14h-18h. Mercredi : 10h-12h30/14h-18h. Jeudi : 10h-12h30/14h-18h. Vendredi : 10h-12h30/14h-19h. Samedi : 10h-17h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
CCAS de Mérignac,44.8461772,-0.656229042,"Le CCAS, établissement public de proximité, anime l’action générale de prévention et de développement social dans la commune. Au cœur des solidarités, le CCAS, en lien avec les partenaires, institutions publiques et privées, travaille en coordination et complémentarité avec l’ensemble des acteurs, dans le but d’améliorer les conditions de vie des habitants de Mérignac, faciliter l’accès aux droits, en s’appuyant sur l’observation constante de la demande sociale et ainsi lier les conditions de développement de nouvelles réponses.",60 Avenue Maréchal de Lattre de Tassigny,"Commune (Ville, CCAS, Centre Culturel…)",Séniors,05 56 55 66 55,Lundi : 13h-17h. Mardi au Vendredi : 8h30-17h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Le Vivier des Partages,44.84580056,-0.6547196569,"Le Vivier des Partages est une association qui a trois objectifs : encourager l'engagement collectif, développer des réseaux de solidarité et créer des temps et des espaces de convivialité. Ainsi, nous créons café-débat, nous accompagnons des projets collectifs,  nous animons des ateliers sur des thématiques diverses et enfin nous proposons de l'entraide numérique. Toutes nos interventions sont motivées par l'esprit de l'éducation populaire et l'apprentissage par l'action. L'entraide numérique se déroule chez nos partenaires notamment une fois par mois au café le Petit Grain à Bordeaux.",55 avenue du Maréchal de Lattre de Tassigny,Association,Tout public,06 01 07 82 50,Variables.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Espace Public Numérique de Beaudésert : Réseau des Médiathèques de Mérignac,44.84371597,-0.6795983292,"L'EPN de la médiathèque de BEAUDESERT est un espace dédié à la découverte, à l'apprentissage et à la pratique des techniques de l'information et de la communication. La vocation de cet espace est d'aider tous les publics à s'approprier les usages numériques pour leurs projets personnels ou professionnels. Tous les publics peuvent bénéficier de conseils et d'une assistance, auprès d'une équipe d'animateurs professionnels. Des ateliers multimédia et des animations sont régulièrement organisés afin de découvrir les usages numériques.",74  avenue des marronniers,Espace Public Numérique (EPN),Tout public,05 56 34 61 05,Mardi : 17h-18h30. Mercredi : 14h-17h. Jeudi : 15h-18h. Vendredi : 10h30-12h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Médiathèque Michel Sainte-Marie Espace Public Numérique,44.84236938,-0.646640985,"L'EPN de la médiathèque Michel SAINTE-MARIE est un espace public dédié à la découverte, à l'apprentissage et à la pratique des technologies de l'information et de la communication. La vocation de cet espace est d'aider tous les publics à s'approprier les usages numériques pour leurs projets personnels ou professionnels. Tous les publics peuvent bénéficier de conseils et d'une assistance auprès d'une équipe d'animateurs multimédia professionnels. Des ateliers numériques et des animations sont régulièrement organisés afin de découvrir les usages numériques.",19 place Charles de Gaulle,Bibliothèque / Médiathèque,Tout public,05 57 00 02 20,Du Mardi au Samedi : 13h-17h. Mercredi : 13h-19h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Mission Locale Technowest,44.85501753,-0.6531098354,"Structure du service public de l'emploi en charge de l'accueil et de l'accompagnement vers l'insertion sociale et professionnelle des jeunes âgés de 16 à 25 ans sortis du système scolaire et résidant sur le territoire des 16 communes adhérentes à la Mission Locale Technowest. Accompagnement global: Formation, projet professionnel, emploi, santé, citoyenneté, logement, loisirs et culture, mobilité internationale.",9 rue Montgolfier,Association,"Allocataires,Jeunes,Personnes en situation de handicap",05 56 47 14 07,Lundi au Vendredi : 8h30-12h30/13h30-17h30.,Accès à un équipement informatique
Atelier Brach,44.83898668,-0.5945722709,"Les ateliers Brach et Giono de la ville de bordeaux dispensent des activités d'apprentissage tout le long de l'année aux personnes âgées de 60 ans, par le biais des intervenants professionnels Des cours d'informatiques sont donnés sous un format de stage de 3h à 6h autour  de différentes thématiques . Les tarifs d'un stage de 3h, établis en fonction des résidents bordelais, s'échelonnent  de 3 à 11 euros. Un forfait de 13 euros est appliqué aux seniors non domiciliés sur Bordeaux",33 rue de Brach,"Commune (Ville, CCAS, Centre Culturel…)",Séniors,05 56 79 73 44,Lundi au Vendredi : 9h à 12 h et de 14h à 17h,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Centre d'animation Monséjour,44.85418557,-0.6296998242,"Le centre d’animation Monséjour fait partie de l’association des Centres d’animation de Bordeaux, association républicaine d’animation socioculturelle, loi 1901. Son action se fonde sur un ensemble de valeurs et de principes et est guidée par ses textes fondateurs, dont ses statuts et son projet associatif. Agréée jeunesse et éducation populaire, 10 centres d’animation sont agréés Centre social, elle œuvre avec toutes et tous afin de contribuer à l’émancipation des personnes qu’elle accueille en promouvant une éducation tout au long de la vie et l’égale reconnaissance des savoirs, savoir-faire et savoir-être.",rue François Coppée,Association,"Demandeurs d'emploi,Etrangers,Jeunes,Personnes en situation de handicap,Séniors",05 56 97 58 10,"Lundi, Mercredi et Vendredi : 14h – 19h, Mardi et jeudi : 9h – 12h30 / 14h – 18h30.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Espace de vie sociale Barthez,44.77087504,-0.6003677789,"Permanences d'accueils individuels et collectifs  caf, info droits, service emploi de la ville de Gradignan -  Informations pour l’accès aux loisirs et vacances (point information vacances) - Ateliers de formation pour adultes : alphabétisation, FLE - Actions d'accompagnement vers l'emploi - Accompagnement à la scolarité élémentaire - Ateliers d’échange de savoirs (cuisine, couture) - soirées thématiques (contes, karaoké, loto, jeux de société) - Sorties et projets week-end familles - Manifestations de quartier des projets des familles - Activites parents-enfants.",20 bis bd malartic  residence barthez,"Commune (Ville, CCAS, Centre Culturel…)",Tout public,05 56 94 05 82,"Lundi, Mercredi : 9h-12h/14h-18h.  Mardi, Jeudi, Vendredi : 9h-12h/14h-19h. Samedi sur projet.",Accès à un équipement informatique
Eysines France Services,44.87988471,-0.6362490343,Nous disposons d'un espace numérique de 2 ordinateurs en accès libres dédiés au public. Ils peuvent être utilisés en autonomie ou accompagnés par les agents présents.,Place du Rouillaou,"Commune (Ville, CCAS, Centre Culturel…)",Tout public,05 56 51 82 85,Du Lundi au Jeudi : 9h/12h30-14H/18h. Vendredi : 9h-12h30.,Accès à un équipement informatique
